,unique_id,city,job_qry,job_title,company_name,location,summary,salary,rating,link,date,full_text
151,pj_18db99831baa75f6,Berlin,data+analyst,Product Analyst - Personalized Marketing,Zalando SE,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,2




",/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlXq1_HpRJGGtlk96FqwEVPcyWq7HzcYUSYmug8gizqcap2dT7VAFQovm2Zaii2vkUPH87-eotEZ9MOC2vgTJq9AydRtGPtiZPyU66StEkWyGt62JjkG7pM5fSmesdWxJ-sjYaW2MhUyuQF6-DwTVSI2RiSWoFKAfkz1Ix-d5FNL-K1bvG5YaBabuoQ-_HTjY8rr1mS8LtJSALo7X4ukN8Ay_yUX7XlX5rI6KPLW1R4_Y6gfMxbI0elVISfyugz6I4CxOB03f2Np_43RCo0rqeJXgGMJmBYQOFUO7oKQcK_IT2lnD8MObhsWkxITmnkiB34ANRCyP40ImSiLzPGTJ05hKF5-NKWhmR4=&p=15&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
152,pj_59a2d4a2c2ef5df1,Berlin,data+analyst,Data Analyst - Content Attribution,Zalando SE,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,2




",/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlW-ZqCqsa_19pb-I4GHzJcyAhF2ti5pb7nUqmZoDqPBn3ASq-9nbjcRu15oR__qfdxOnEqKpJyS9IWE4d4P35OMGEsHwjkro-kI1XT8VClpfoC5jj6jFG-7EMdelZF3IbuG8joaCUbtQgONyhnXRFjdbjJy5mtSAn2I5mnxzn-XU9fnZ2p-qFVWnvSOEJvjRTNVfwDFAmIPDkJ-nMh2EOWvnu-yXggwzJxWK2ngHZjKa-2S1ESxrLK85Uq8XtOo00uf34fpM8a-dmR5fzSmh7ePpz0-gDJv2WecWnKPvop_GRVbD7TqXs-6WPQdpjmScVWmYlqyC-eCefr6vhPhh9nK&p=16&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
153,pj_00ae57ffa8e1b5ad,Berlin,data+analyst,Senior Data Analyst,Zalando Marketing Services,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlU4xBi0tO6weaFG1TIc-Ei3XYpnbv4zkRKXUPRiNmlCqwbAWDm0kBP4rPW5059ZKB1kOyXb44QEjcXYK0IXG1a0gHBux6Uv8nCJQGVs8oI1EXzBoeKA8kkY5tmv9t8NwPSEIe8psnXi4Fs6FyVP9J8nlVP8Gxk_kAS9B2spqK4fg4HzVkFY3bH8FfN0u70ZDh-AS4fKxFXMU8KIQvKf_6t9MP2Xxh98nPJrgKKO76hsVGD4dk20nJF-q0xq-Le9K3AYcFkJZ61T_pDJDNYdYWJuowViHDZO11kz8z71wREq4ZFJNRN8mtRsQtPh5dWpnzTWfuGdCR59qimf_jYXSZhVbbH9dAT3yrU=&p=17&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
154,pj_d4c4ff57e0b4caa9,Berlin,data+analyst,Data Analyst Customer Experience (m|w|x),idealo internet GmbH,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
4,3




",/pagead/clk?mo=r&ad=-6NYlbfkN0CELDw7qjWVE-gukdvL7ia7w4fFCzsG2H5pRo0eSmOMD2C9apQiOuxHFn7spPUK_TpM3WMcnxVgauFP6OBiMNdOxTHGzIv3WtMBJ1YmIGh-x_MXcObyU9L9_WX-rDKHpo61gUSzDmw73dga1RDb47qvsVGg60rDKJ8ymGsCYFFF7-lZM81Ryf_Maw7-t8eJaZsGldkcpJQU4pKJ6s9m1ANY8AUfG9alXguoH3JhxurY_X0rF_0Dl9LJDXRyeiwB6KQn0BBSAJL-7ePAKLX3DTXonxtT9XmJVykvAJCw65VopNcTPtW_iM8Nfn8AZ8UasqDhhTMbvUtPqnHuFFK_s0340dK7c28UHNuwRTYLnoSQw6YFT_QN2MYj0lWSWTnubI8AGnx8tLnd_pOxDw8pXdt-3UiUrNitOIqyCM_9dt_jJooQcmQ9i_w2TbirXMx-xlPkpJ749BdEngyy_2dKDeFLOUUyiYRDURzfSQmP7tEAqmqX3OCDFIkSLHiRrg3EgEJrUt3coK2kKps_XiLCbG4dTScwCEZHSKQOxIaU4FzEsw==&p=0&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
155,pj_ba048452b62567b9,Berlin,data+analyst,Key Account Manager (m/w/d),BFS Finance Münster GmbH,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,5




",/pagead/clk?mo=r&ad=-6NYlbfkN0C_IOwqOjj2A_0FHYVTJAwZwAnEqyyWmpNoQ83ZPg85Xhe_j5api-kEXtHGpjmToYVxPILzvugRX9DmNc8zTsDqLfsi-jzjbJ0I4RH35jXnrXn0s2kQaxVxsCfppa6AvHoCuyJsH4BTras8k7lJsGNGiiNr13af7iklLUUWSzmI8dTMzfcKDvGItA9HpnGdbQwxP2FyWTmyLWSbI4hkUJQG2eDopf-aEVF3VtMeSFnbLv9pHDMWcn_SYKyAA6XysYUs69rTZpnKk-4GQx8uw-exkXyk9Szgu4FpBsC5g2lXL2fwiEM0KbrNWVvwReuJbzjKAqPq8sZphL6aasGIDRmpnUdWhCFZP7QLmgOU0F-RTEIKvN9EUCneQfLuONNcg0YPhJ7J2lN1Y0SX7-7mrOJvDw_j_iJAtRGHU6CC7XIi6og226O0XCqEuk-5Y6jfEyoQkmanaUTMkZXTksO2FV26GPoe7PNwPb_nBxra4qg3n_I6s-f4CehB&p=1&fvj=0&vjs=3,vor 11 Tagen,NOT_FOUND
156,pj_55ad2c98809c382e,Berlin,data+analyst,Data Analyst - SEO (m|w|x),idealo internet GmbH,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
4,3




",/pagead/clk?mo=r&ad=-6NYlbfkN0CELDw7qjWVE-gukdvL7ia7w4fFCzsG2H5pRo0eSmOMD2C9apQiOuxHFn7spPUK_TqbOgiy6l8Xu8Fw7N2t3_EAu_AZojJlRmip-iLamXNZHlIs1wlMf0au15jyEfP3BT-sCWedICDH8R7JWuxLauI7OUYExvfCZvfwnrBSvrcGaCULv34dx4xAgR92a-aqfEpa9EMHX1eaIe0aWuHHn1D7M_JP8u_37Jm_JIkH2gg4xPHFNDLztsD8gsGMN6cCvgt3w8Vzuc-RIByAPqfscTh68plzUy4bVsvMuPpciKQQ6hiWPaUrsyb-FxBiMxeBb6Q07H2yQYrdk46jP8bPTmZS-OisKlDJ61kRDZUXINwMo8iE0RKvwQG5jZiTVU1jQ8hp92q3y8JegCphW12f4MLXJnbrKyXc9KCht8TgTKn6jfwSRWREzGFRoHUVMwqwnDCpG5vjGxU-XVKasXZWkN9dOGlcskhZOMOzMVtvGJbZ9mYZyFZBJb950-CdWa8T-q8=&p=2&fvj=0&vjs=3,vor 11 Tagen,NOT_FOUND
157,p_363587e932ebae90,Berlin,data+analyst,Pricing Analyst (m/w/d),Rosneft Deutschland GmbH,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=363587e932ebae90&fccid=3b08f3351bcfa0a2&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
158,p_ce1793abac431e56,Berlin,data+analyst,Financial Analyst (w/m/d),KLEO Connect,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=ce1793abac431e56&fccid=55a00a39661bb0cf&vjs=3,vor 6 Tagen,NOT_FOUND
159,p_f63f727486412623,Berlin,data+analyst,(Senior) Game Data Analyst (f/m/d),Kolibri Games,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=f63f727486412623&fccid=43b2980b8e99e3d8&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
160,p_3bc1eaab3e00aa0e,Berlin,data+analyst,Financial Analyst,Fliit Holding GmbH,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=3bc1eaab3e00aa0e&fccid=8a9815b9df683640&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
